,player,session,date,score,filled
0,Player 1,Agility,2022-01-03,7.0,Not Filled
1,Player 1,Agility,2022-01-04,8.0,Not Filled
2,Player 1,Agility,2022-01-05,8.0,Filled
3,Player 1,Agility,2022-01-06,8.0,Not Filled
4,Player 1,Agility,2022-01-07,8.0,Filled
5,Player 1,Agility,2022-01-10,4.0,Not Filled
6,Player 1,Agility,2022-01-11,4.0,Filled
7,Player 1,Agility,2022-01-12,9.0,Not Filled
8,Player 1,Agility,2022-01-13,9.0,Filled
9,Player 1,Agility,2022-01-14,3.0,Not Filled
10,Player 1,Agility,2022-01-17,8.0,Not Filled
11,Player 1,Agility,2022-01-18,8.0,Filled
12,Player 1,Agility,2022-01-19,5.0,Not Filled
13,Player 1,Agility,2022-01-20,3.0,Not Filled
14,Player 1,Agility,2022-01-21,3.0,Not Filled
15,Player 1,Agility,2022-01-24,6.0,Not Filled
16,Player 1,Agility,2022-01-25,7.0,Not Filled
17,Player 1,Agility,2022-01-26,7.0,Not Filled
18,Player 1,Agility,2022-01-27,7.0,Filled
19,Player 1,Agility,2022-01-28,7.0,Filled
20,Player 1,Agility,2022-01-31,9.0,Not Filled
21,Player 1,Agility,2022-02-01,5.0,Not Filled
22,Player 1,Agility,2022-02-02,6.0,Not Filled
23,Player 1,Agility,2022-02-03,6.0,Filled
24,Player 1,Agility,2022-02-04,6.0,Filled
25,Player 1,Agility,2022-02-07,9.0,Not Filled
26,Player 1,Agility,2022-02-08,3.0,Not Filled
27,Player 1,Agility,2022-02-09,3.0,Not Filled
28,Player 1,Agility,2022-02-10,3.0,Filled
29,Player 1,Agility,2022-02-11,5.0,Not Filled
30,Player 1,Agility,2022-02-14,4.0,Not Filled
31,Player 1,Agility,2022-02-15,4.0,Not Filled
32,Player 1,Agility,2022-02-16,3.0,Not Filled
33,Player 1,Agility,2022-02-17,3.0,Filled
34,Player 1,Agility,2022-02-18,3.0,Filled
35,Player 1,Agility,2022-02-21,3.0,Filled
36,Player 1,Agility,2022-02-22,3.0,Filled
37,Player 1,Agility,2022-02-23,6.0,Not Filled
38,Player 1,Agility,2022-02-24,4.0,Not Filled
