,Flag,Session Date,Player,Session,Score
0,Carried over,2021-08-04,Player 15,Agility,7
1,Carried over,2021-08-03,Player 15,Agility,7
2,Actual,2021-08-02,Player 15,Agility,7
3,Actual,2021-08-05,Player 15,Agility,3
4,Carried over,2021-08-10,Player 15,Agility,3
5,Carried over,2021-08-09,Player 15,Agility,3
6,Actual,2021-08-06,Player 15,Agility,3
7,Actual,2021-08-11,Player 15,Agility,9
8,Carried over,2021-08-25,Player 15,Agility,7
9,Carried over,2021-08-24,Player 15,Agility,7
10,Carried over,2021-08-23,Player 15,Agility,7
11,Carried over,2021-08-20,Player 15,Agility,7
12,Carried over,2021-08-19,Player 15,Agility,7
13,Carried over,2021-08-18,Player 15,Agility,7
14,Carried over,2021-08-17,Player 15,Agility,7
15,Carried over,2021-08-16,Player 15,Agility,7
16,Carried over,2021-08-13,Player 15,Agility,7
17,Actual,2021-08-12,Player 15,Agility,7
18,Actual,2021-08-26,Player 15,Agility,3
19,Carried over,2021-08-30,Player 15,Agility,7
20,Actual,2021-08-27,Player 15,Agility,7
21,Carried over,2021-09-02,Player 15,Agility,4
22,Carried over,2021-09-01,Player 15,Agility,4
23,Actual,2021-08-31,Player 15,Agility,4
24,Carried over,2021-09-06,Player 15,Agility,10
25,Actual,2021-09-03,Player 15,Agility,10
26,Actual,2021-09-07,Player 15,Agility,7
27,Actual,2021-09-08,Player 15,Agility,10
28,Carried over,2021-09-15,Player 15,Agility,10
29,Carried over,2021-09-14,Player 15,Agility,10
30,Carried over,2021-09-13,Player 15,Agility,10
31,Carried over,2021-09-10,Player 15,Agility,10
32,Actual,2021-09-09,Player 15,Agility,10
33,Actual,2021-09-16,Player 15,Agility,9
34,Actual,2021-09-17,Player 15,Agility,8
35,Carried over,2021-09-21,Player 15,Agility,9
36,Actual,2021-09-20,Player 15,Agility,9
37,Carried over,2021-09-29,Player 15,Agility,9
38,Carried over,2021-09-28,Player 15,Agility,9
39,Carried over,2021-09-27,Player 15,Agility,9
40,Carried over,2021-09-24,Player 15,Agility,9
41,Carried over,2021-09-23,Player 15,Agility,9
42,Actual,2021-09-22,Player 15,Agility,9
43,Actual,2021-09-30,Player 15,Agility,8
44,Carried over,2021-10-05,Player 15,Agility,8
45,Carried over,2021-10-04,Player 15,Agility,8
46,Actual,2021-10-01,Player 15,Agility,8
47,Carried over,2021-10-07,Player 15,Agility,4
48,Actual,2021-10-06,Player 15,Agility,4
49,Carried over,2021-10-12,Player 15,Agility,4
50,Carried over,2021-10-11,Player 15,Agility,4
51,Actual,2021-10-08,Player 15,Agility,4
52,Carried over,2021-10-14,Player 15,Agility,9
53,Actual,2021-10-13,Player 15,Agility,9
54,Carried over,2021-10-19,Player 15,Agility,7
55,Carried over,2021-10-18,Player 15,Agility,7
56,Actual,2021-10-15,Player 15,Agility,7
57,Actual,2021-10-20,Player 15,Agility,5
58,Actual,2021-10-21,Player 15,Agility,10
59,Carried over,2021-11-09,Player 15,Agility,8
60,Carried over,2021-11-08,Player 15,Agility,8
61,Carried over,2021-11-05,Player 15,Agility,8
62,Carried over,2021-11-04,Player 15,Agility,8
63,Carried over,2021-11-03,Player 15,Agility,8
64,Carried over,2021-11-02,Player 15,Agility,8
65,Carried over,2021-11-01,Player 15,Agility,8
66,Carried over,2021-10-29,Player 15,Agility,8
67,Carried over,2021-10-28,Player 15,Agility,8
68,Carried over,2021-10-27,Player 15,Agility,8
69,Carried over,2021-10-26,Player 15,Agility,8
70,Carried over,2021-10-25,Player 15,Agility,8
71,Actual,2021-10-22,Player 15,Agility,8
72,Actual,2021-11-10,Player 15,Agility,9
73,Carried over,2021-11-17,Player 15,Agility,4
74,Carried over,2021-11-16,Player 15,Agility,4
75,Carried over,2021-11-15,Player 15,Agility,4
76,Carried over,2021-11-12,Player 15,Agility,4
77,Actual,2021-11-11,Player 15,Agility,4
78,Actual,2021-11-18,Player 15,Agility,5
79,Carried over,2021-11-24,Player 15,Agility,10
80,Carried over,2021-11-23,Player 15,Agility,10
81,Carried over,2021-11-22,Player 15,Agility,10
82,Actual,2021-11-19,Player 15,Agility,10
83,Carried over,2021-11-30,Player 15,Agility,4
84,Carried over,2021-11-29,Player 15,Agility,4
85,Carried over,2021-11-26,Player 15,Agility,4
86,Actual,2021-11-25,Player 15,Agility,4
87,Carried over,2021-12-02,Player 15,Agility,7
88,Actual,2021-12-01,Player 15,Agility,7
89,Carried over,2021-12-07,Player 15,Agility,8
90,Carried over,2021-12-06,Player 15,Agility,8
91,Actual,2021-12-03,Player 15,Agility,8
92,Carried over,2021-12-15,Player 15,Agility,7
93,Carried over,2021-12-14,Player 15,Agility,7
94,Carried over,2021-12-13,Player 15,Agility,7
95,Carried over,2021-12-10,Player 15,Agility,7
96,Carried over,2021-12-09,Player 15,Agility,7
97,Actual,2021-12-08,Player 15,Agility,7
98,Actual,2021-12-16,Player 15,Agility,5
99,Carried over,2021-12-21,Player 15,Agility,3
100,Carried over,2021-12-20,Player 15,Agility,3
101,Actual,2021-12-17,Player 15,Agility,3
102,Carried over,2021-12-28,Player 15,Agility,10
103,Carried over,2021-12-27,Player 15,Agility,10
104,Carried over,2021-12-24,Player 15,Agility,10
105,Carried over,2021-12-23,Player 15,Agility,10
106,Actual,2021-12-22,Player 15,Agility,10
107,Actual,2021-12-29,Player 15,Agility,4
108,Carried over,2021-12-31,Player 15,Agility,7
109,Actual,2021-12-30,Player 15,Agility,7
110,Carried over,2022-01-04,Player 15,Agility,7
111,Actual,2022-01-03,Player 15,Agility,7
112,Actual,2022-01-05,Player 15,Agility,5
113,Actual,2022-01-06,Player 15,Agility,3
114,Carried over,2022-01-10,Player 15,Agility,3
115,Actual,2022-01-07,Player 15,Agility,3
116,Actual,2022-01-11,Player 15,Agility,6
117,Actual,2022-01-12,Player 15,Agility,9
118,Actual,2022-01-13,Player 15,Agility,7
119,Carried over,2022-01-19,Player 15,Agility,10
120,Carried over,2022-01-18,Player 15,Agility,10
121,Carried over,2022-01-17,Player 15,Agility,10
122,Actual,2022-01-14,Player 15,Agility,10
123,Carried over,2022-01-26,Player 15,Agility,7
