,Player,Session,Date,Score
0,Player 1,Strength Building,2022-01-03,10
1,Player 1,Agility,2022-01-03,7
2,Player 1,Cardio,2022-01-03,3
3,Player 2,Strength Building,2022-01-03,9
4,Player 2,Agility,2022-01-03,9
5,Player 2,Cardio,2022-01-03,6
6,Player 3,Strength Building,2022-01-03,9
7,Player 3,Agility,2022-01-03,10
8,Player 3,Cardio,2022-01-03,10
9,Player 4,Strength Building,2022-01-03,7
10,Player 4,Agility,2022-01-03,10
11,Player 4,Cardio,2022-01-03,5
12,Player 5,Strength Building,2022-01-03,9
13,Player 5,Agility,2022-01-03,5
14,Player 5,Cardio,2022-01-03,3
15,Player 6,Strength Building,2022-01-03,7
16,Player 6,Agility,2022-01-03,6
17,Player 6,Cardio,2022-01-03,9
18,Player 7,Strength Building,2022-01-03,4
19,Player 7,Agility,2022-01-03,7
20,Player 7,Cardio,2022-01-03,6
21,Player 8,Strength Building,2022-01-03,6
22,Player 8,Agility,2022-01-03,7
23,Player 8,Cardio,2022-01-03,5
24,Player 9,Strength Building,2022-01-03,4
25,Player 9,Agility,2022-01-03,6
26,Player 9,Cardio,2022-01-03,3
27,Player 10,Strength Building,2022-01-03,8
28,Player 10,Agility,2022-01-03,9
29,Player 10,Cardio,2022-01-03,5
30,Player 11,Strength Building,2022-01-03,10
31,Player 11,Agility,2022-01-03,10
32,Player 11,Cardio,2022-01-03,4
33,Player 12,Strength Building,2022-01-03,3
34,Player 12,Agility,2022-01-03,6
35,Player 12,Cardio,2022-01-03,8
36,Player 13,Strength Building,2022-01-03,9
37,Player 13,Agility,2022-01-03,7
38,Player 13,Cardio,2022-01-03,6
39,Player 14,Strength Building,2022-01-03,4
40,Player 14,Agility,2022-01-03,5
41,Player 14,Cardio,2022-01-03,8
42,Player 15,Strength Building,2022-01-03,3
43,Player 15,Agility,2022-01-03,7
44,Player 15,Cardio,2022-01-03,9
45,Player 1,Strength Building,2022-01-05,5
46,Player 1,Strength Building,2022-01-06,10
47,Player 1,Strength Building,2022-01-07,5
48,Player 1,Strength Building,2022-01-10,6
49,Player 1,Strength Building,2022-01-11,4
50,Player 1,Strength Building,2022-01-17,9
51,Player 1,Strength Building,2022-01-18,10
52,Player 1,Strength Building,2022-01-20,5
53,Player 1,Strength Building,2022-01-25,6
54,Player 1,Strength Building,2022-01-26,10
55,Player 1,Strength Building,2022-01-27,10
56,Player 1,Strength Building,2022-01-28,3
57,Player 1,Strength Building,2022-01-31,9
58,Player 1,Strength Building,2022-02-01,8
59,Player 1,Strength Building,2022-02-02,8
60,Player 1,Strength Building,2022-02-03,10
61,Player 1,Strength Building,2022-02-04,6
62,Player 1,Strength Building,2022-02-10,5
63,Player 1,Strength Building,2022-02-14,5
64,Player 1,Strength Building,2022-02-15,8
65,Player 1,Strength Building,2022-02-16,8
66,Player 1,Strength Building,2022-02-17,5
67,Player 1,Strength Building,2022-02-21,3
68,Player 1,Strength Building,2022-02-22,8
69,Player 1,Strength Building,2022-02-25,6
70,Player 1,Strength Building,2022-02-28,4
71,Player 1,Strength Building,2022-03-03,10
72,Player 1,Strength Building,2022-03-07,6
73,Player 1,Strength Building,2022-03-08,8
74,Player 1,Strength Building,2022-03-09,3
75,Player 1,Strength Building,2022-03-10,9
76,Player 1,Strength Building,2022-03-14,7
77,Player 1,Strength Building,2022-03-16,10
78,Player 1,Strength Building,2022-03-17,10
79,Player 1,Strength Building,2022-03-18,9
80,Player 1,Strength Building,2022-03-21,5
81,Player 1,Strength Building,2022-03-22,10
82,Player 1,Strength Building,2022-03-24,10
83,Player 1,Strength Building,2022-03-25,5
84,Player 1,Strength Building,2022-03-28,9
85,Player 1,Strength Building,2022-03-29,9
86,Player 1,Strength Building,2022-03-30,6
87,Player 1,Strength Building,2022-04-01,7
88,Player 1,Strength Building,2022-04-04,8
89,Player 1,Strength Building,2022-04-05,8
90,Player 1,Strength Building,2022-04-06,4
91,Player 1,Strength Building,2022-04-07,4
92,Player 1,Strength Building,2022-04-08,7
93,Player 1,Strength Building,2022-04-20,7
94,Player 1,Strength Building,2022-04-21,8
95,Player 1,Strength Building,2022-04-25,7
96,Player 1,Strength Building,2022-04-26,5
97,Player 1,Strength Building,2022-04-28,7
98,Player 1,Strength Building,2022-04-29,10
99,Player 1,Strength Building,2022-05-03,10
100,Player 1,Strength Building,2022-05-04,10
101,Player 1,Strength Building,2022-05-05,7
102,Player 1,Strength Building,2022-05-06,3
103,Player 1,Strength Building,2022-05-09,4
104,Player 1,Strength Building,2022-05-10,7
105,Player 1,Strength Building,2022-05-12,7
106,Player 1,Strength Building,2022-05-13,9
107,Player 1,Strength Building,2022-05-17,6
108,Player 1,Strength Building,2022-05-18,7
109,Player 1,Strength Building,2022-05-19,7
110,Player 1,Strength Building,2022-05-20,4
111,Player 1,Strength Building,2022-05-23,7
112,Player 1,Strength Building,2022-05-24,5
113,Player 1,Strength Building,2022-05-27,10
114,Player 1,Strength Building,2022-05-30,10
115,Player 1,Strength Building,2022-06-06,6
116,Player 1,Strength Building,2022-06-09,4
117,Player 1,Strength Building,2022-06-10,8
118,Player 1,Strength Building,2022-06-13,7
119,Player 1,Strength Building,2022-06-14,8
120,Player 1,Strength Building,2022-06-16,3
121,Player 1,Strength Building,2022-06-20,10
122,Player 1,Strength Building,2022-06-21,5
123,Player 1,Strength Building,2022-06-22,8
124,Player 1,Strength Building,2022-06-24,4
125,Player 1,Strength Building,2022-06-28,7
126,Player 1,Strength Building,2022-06-29,6
127,Player 1,Strength Building,2022-07-01,10
