,player,date,session,score
0,Player 1,2021-08-02,Agility,7.0
1,Player 1,2021-08-03,Agility,8.0
2,Player 1,2021-08-05,Agility,8.0
3,Player 1,2021-08-06,Agility,8.0
4,Player 1,2021-08-09,Agility,8.0
5,Player 1,2021-08-10,Agility,8.0
6,Player 1,2021-08-16,Agility,8.0
7,Player 1,2021-08-17,Agility,8.0
8,Player 1,2021-08-19,Agility,8.0
9,Player 1,2021-08-20,Agility,3.0
10,Player 1,2021-08-23,Agility,6.0
11,Player 1,2021-08-25,Agility,7.0
12,Player 1,2021-08-27,Agility,7.0
13,Player 1,2021-08-30,Agility,9.0
14,Player 1,2021-08-31,Agility,5.0
15,Player 1,2021-09-01,Agility,6.0
16,Player 1,2021-09-02,Agility,6.0
17,Player 1,2021-09-03,Agility,6.0
18,Player 1,2021-09-06,Agility,9.0
19,Player 1,2021-09-08,Agility,3.0
20,Player 1,2021-09-09,Agility,3.0
21,Player 1,2021-09-10,Agility,5.0
22,Player 1,2021-09-13,Agility,4.0
23,Player 1,2021-09-14,Agility,4.0
24,Player 1,2021-09-15,Agility,3.0
25,Player 1,2021-09-16,Agility,3.0
26,Player 1,2021-09-20,Agility,3.0
27,Player 1,2021-09-21,Agility,3.0
28,Player 1,2021-09-23,Agility,4.0
29,Player 1,2021-09-24,Agility,7.0
30,Player 1,2021-09-30,Agility,4.0
31,Player 1,2021-10-01,Agility,10.0
32,Player 1,2021-10-07,Agility,10.0
33,Player 1,2021-10-08,Agility,9.0
34,Player 1,2021-10-13,Agility,9.0
35,Player 1,2021-10-14,Agility,9.0
36,Player 1,2021-10-15,Agility,9.0
37,Player 1,2021-10-20,Agility,8.0
38,Player 1,2021-10-22,Agility,8.0
39,Player 1,2021-10-27,Agility,6.0
40,Player 1,2021-10-28,Agility,6.0
41,Player 1,2021-10-29,Agility,3.0
42,Player 1,2021-11-03,Agility,3.0
43,Player 1,2021-11-04,Agility,7.0
44,Player 1,2021-11-05,Agility,4.0
45,Player 1,2021-11-18,Agility,6.0
46,Player 1,2021-11-19,Agility,8.0
47,Player 1,2021-11-25,Agility,8.0
48,Player 1,2021-11-26,Agility,9.0
49,Player 1,2021-12-03,Agility,9.0
50,Player 1,2021-12-08,Agility,3.0
51,Player 1,2021-12-09,Agility,3.0
52,Player 1,2021-12-15,Agility,3.0
53,Player 1,2021-12-22,Agility,9.0
54,Player 1,2021-12-23,Agility,9.0
55,Player 1,2021-12-24,Agility,3.0
56,Player 1,2021-12-29,Agility,3.0
57,Player 1,2021-12-30,Agility,7.0
58,Player 1,2021-12-31,Agility,8.0
59,Player 1,2022-01-03,Agility,7.0
60,Player 1,2022-01-04,Agility,8.0
61,Player 1,2022-01-05,Agility,8.0
62,Player 1,2022-01-06,Agility,8.0
63,Player 1,2022-01-07,Agility,8.0
64,Player 1,2022-01-10,Agility,4.0
65,Player 1,2022-01-11,Agility,4.0
66,Player 1,2022-01-12,Agility,9.0
67,Player 1,2022-01-14,Agility,3.0
68,Player 1,2022-01-17,Agility,8.0
69,Player 1,2022-01-18,Agility,8.0
