player,date,Agility,Cardio,Strength Building
Player 1,2021-08-02,7.0,0.0,10.0
Player 1,2021-08-03,8.0,0.0,10.0
Player 1,2021-08-05,8.0,10.0,10.0
Player 1,2021-08-06,8.0,7.0,5.0
Player 1,2021-08-09,8.0,3.0,5.0
Player 1,2021-08-10,8.0,3.0,4.0
Player 1,2021-08-16,8.0,3.0,9.0
Player 1,2021-08-17,8.0,8.0,10.0
Player 1,2021-08-19,8.0,6.0,5.0
Player 1,2021-08-20,3.0,6.0,5.0
Player 1,2021-08-23,6.0,3.0,5.0
Player 1,2021-08-25,7.0,3.0,5.0
Player 1,2021-08-27,7.0,3.0,3.0
Player 1,2021-08-30,9.0,8.0,3.0
Player 1,2021-08-31,5.0,8.0,3.0
Player 1,2021-09-01,6.0,8.0,8.0
Player 1,2021-09-02,6.0,10.0,8.0
Player 1,2021-09-03,6.0,8.0,6.0
Player 1,2021-09-06,9.0,8.0,6.0
Player 1,2021-09-08,3.0,8.0,6.0
Player 1,2021-09-09,3.0,8.0,5.0
Player 1,2021-09-10,5.0,9.0,5.0
Player 1,2021-09-13,4.0,9.0,5.0
Player 1,2021-09-14,4.0,8.0,8.0
Player 1,2021-09-15,3.0,8.0,8.0
Player 1,2021-09-16,3.0,8.0,8.0
Player 1,2021-09-20,3.0,6.0,8.0
Player 1,2021-09-21,3.0,6.0,8.0
Player 1,2021-09-23,4.0,5.0,8.0
Player 1,2021-09-24,7.0,3.0,6.0
Player 1,2021-09-30,4.0,3.0,6.0
Player 1,2021-10-01,10.0,3.0,6.0
Player 1,2021-10-07,10.0,3.0,8.0
Player 1,2021-10-08,9.0,3.0,8.0
Player 1,2021-10-13,9.0,3.0,7.0
Player 1,2021-10-14,9.0,3.0,7.0
Player 1,2021-10-15,9.0,3.0,10.0
Player 1,2021-10-20,8.0,3.0,5.0
Player 1,2021-10-22,8.0,3.0,5.0
Player 1,2021-10-27,6.0,3.0,9.0
Player 1,2021-10-28,6.0,8.0,9.0
Player 1,2021-10-29,3.0,3.0,6.0
Player 1,2021-11-03,3.0,8.0,8.0
Player 1,2021-11-04,7.0,4.0,8.0
Player 1,2021-11-05,4.0,9.0,4.0
Player 1,2021-11-18,6.0,9.0,4.0
Player 1,2021-11-19,8.0,6.0,7.0
Player 1,2021-11-25,8.0,6.0,7.0
Player 1,2021-11-26,9.0,6.0,7.0
Player 1,2021-12-03,9.0,6.0,10.0
Player 1,2021-12-08,3.0,7.0,4.0
Player 1,2021-12-09,3.0,7.0,7.0
Player 1,2021-12-15,3.0,10.0,7.0
Player 1,2021-12-22,9.0,10.0,7.0
Player 1,2021-12-23,9.0,7.0,5.0
Player 1,2021-12-24,3.0,7.0,5.0
Player 1,2021-12-29,3.0,7.0,10.0
Player 1,2021-12-30,7.0,10.0,10.0
Player 1,2021-12-31,8.0,3.0,10.0
Player 1,2022-01-03,7.0,3.0,10.0
Player 1,2022-01-04,8.0,10.0,10.0
Player 1,2022-01-05,8.0,10.0,5.0
Player 1,2022-01-06,8.0,10.0,10.0
Player 1,2022-01-07,8.0,7.0,5.0
Player 1,2022-01-10,4.0,3.0,6.0
Player 1,2022-01-11,4.0,7.0,4.0
Player 1,2022-01-12,9.0,7.0,4.0
Player 1,2022-01-14,3.0,7.0,4.0
Player 1,2022-01-17,8.0,8.0,9.0
Player 1,2022-01-18,8.0,8.0,10.0
Player 1,2022-01-19,5.0,8.0,10.0
Player 1,2022-01-20,3.0,6.0,5.0
Player 1,2022-01-21,3.0,6.0,5.0
Player 1,2022-01-24,6.0,3.0,5.0
Player 1,2022-01-25,7.0,3.0,6.0
Player 1,2022-01-26,7.0,4.0,10.0
Player 1,2022-01-27,7.0,4.0,10.0
Player 1,2022-01-28,7.0,4.0,3.0
Player 1,2022-01-31,9.0,8.0,9.0
Player 1,2022-02-01,5.0,8.0,8.0
Player 1,2022-02-02,6.0,6.0,8.0
Player 1,2022-02-03,6.0,10.0,10.0
Player 1,2022-02-04,6.0,8.0,6.0
Player 1,2022-02-07,9.0,8.0,6.0
Player 1,2022-02-08,3.0,8.0,6.0
Player 1,2022-02-09,3.0,7.0,6.0
Player 1,2022-02-10,3.0,9.0,5.0
Player 1,2022-02-11,5.0,9.0,5.0
Player 1,2022-02-14,4.0,7.0,5.0
Player 1,2022-02-15,4.0,8.0,8.0
Player 1,2022-02-16,3.0,8.0,8.0
Player 1,2022-02-17,3.0,8.0,5.0
Player 1,2022-02-18,3.0,10.0,5.0
Player 1,2022-02-21,3.0,6.0,3.0
Player 1,2022-02-22,3.0,6.0,8.0
Player 1,2022-02-23,6.0,9.0,8.0
Player 1,2022-02-24,4.0,5.0,8.0
Player 1,2022-02-25,7.0,3.0,6.0
Player 1,2022-02-28,7.0,3.0,4.0
Player 1,2022-03-01,4.0,5.0,4.0
Player 1,2022-03-02,10.0,5.0,4.0
Player 1,2022-03-03,10.0,3.0,10.0
Player 1,2022-03-04,3.0,3.0,10.0
Player 1,2022-03-07,5.0,3.0,6.0
Player 1,2022-03-08,9.0,3.0,8.0
Player 1,2022-03-09,9.0,8.0,3.0
Player 1,2022-03-10,3.0,8.0,9.0
Player 1,2022-03-11,3.0,9.0,9.0
Player 1,2022-03-14,9.0,9.0,7.0
Player 1,2022-03-15,9.0,5.0,7.0
Player 1,2022-03-16,8.0,5.0,10.0
Player 1,2022-03-17,8.0,9.0,10.0
Player 1,2022-03-18,8.0,10.0,9.0
Player 1,2022-03-21,8.0,3.0,5.0
Player 1,2022-03-22,6.0,3.0,10.0
Player 1,2022-03-23,8.0,3.0,10.0
Player 1,2022-03-24,4.0,3.0,10.0
Player 1,2022-03-25,4.0,3.0,5.0
Player 1,2022-03-28,6.0,5.0,9.0
Player 1,2022-03-29,6.0,8.0,9.0
Player 1,2022-03-30,3.0,3.0,6.0
Player 1,2022-03-31,7.0,6.0,6.0
Player 1,2022-04-01,7.0,7.0,7.0
Player 1,2022-04-04,6.0,8.0,8.0
Player 1,2022-04-05,7.0,4.0,8.0
Player 1,2022-04-06,4.0,9.0,4.0
Player 1,2022-04-07,4.0,10.0,4.0
Player 1,2022-04-08,8.0,5.0,7.0
Player 1,2022-04-14,7.0,5.0,7.0
Player 1,2022-04-15,4.0,3.0,7.0
Player 1,2022-04-18,7.0,3.0,7.0
Player 1,2022-04-19,6.0,3.0,7.0
Player 1,2022-04-20,8.0,6.0,7.0
Player 1,2022-04-21,8.0,6.0,8.0
Player 1,2022-04-22,10.0,3.0,8.0
Player 1,2022-04-25,10.0,4.0,7.0
Player 1,2022-04-26,8.0,4.0,5.0
Player 1,2022-04-27,9.0,4.0,5.0
Player 1,2022-04-28,4.0,4.0,7.0
Player 1,2022-04-29,4.0,9.0,10.0
Player 1,2022-05-03,4.0,6.0,10.0
Player 1,2022-05-04,4.0,6.0,10.0
Player 1,2022-05-05,4.0,6.0,7.0
Player 1,2022-05-06,8.0,7.0,3.0
Player 1,2022-05-09,3.0,7.0,4.0
Player 1,2022-05-10,9.0,7.0,7.0
Player 1,2022-05-12,9.0,8.0,7.0
Player 1,2022-05-13,3.0,9.0,9.0
Player 1,2022-05-16,6.0,10.0,9.0
Player 1,2022-05-17,6.0,3.0,6.0
Player 1,2022-05-18,6.0,3.0,7.0
Player 1,2022-05-19,4.0,3.0,7.0
Player 1,2022-05-20,4.0,4.0,4.0
Player 1,2022-05-23,9.0,9.0,7.0
Player 1,2022-05-24,9.0,7.0,5.0
Player 1,2022-05-25,3.0,7.0,5.0
Player 1,2022-05-26,8.0,8.0,5.0
Player 1,2022-05-27,8.0,8.0,10.0
Player 1,2022-05-30,5.0,8.0,10.0
Player 1,2022-05-31,7.0,10.0,10.0
Player 1,2022-06-01,8.0,3.0,10.0
Player 1,2022-06-02,10.0,6.0,10.0
Player 1,2022-06-03,10.0,3.0,10.0
Player 1,2022-06-06,8.0,6.0,6.0
Player 1,2022-06-07,8.0,4.0,6.0
Player 1,2022-06-08,3.0,10.0,6.0
Player 1,2022-06-09,5.0,4.0,4.0
Player 1,2022-06-10,9.0,4.0,8.0
Player 1,2022-06-13,9.0,9.0,7.0
Player 1,2022-06-14,9.0,6.0,8.0
